fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.38669,0.00742,0.0083,0.9146,0.00066,2.7064,0.84809,6.74225,0.66537,1.50815,0.02442,0.71262,0.3124,0.0,0.11046,0.65626,0.0,0.0,0.0,0.52654,1.0,0.0,0.0
0.38298,0.01184,0.01087,0.92548,0.00051,3.05659,0.85582,5.082,0.58824,1.7553,0.01719,0.62956,0.26671,0.0,0.09139,0.58231,0.0,0.0,0.0,0.46424,1.0,0.0,0.0
0.37349,0.00716,0.00702,0.90024,0.00075,2.7064,0.77631,4.37663,0.68497,1.65256,0.02608,0.78354,0.42901,0.0,0.07336,0.41665,0.0,0.0,0.0,0.50898,1.0,0.0,0.0
0.38459,0.00751,0.00798,0.90334,0.00062,2.7064,0.84228,5.57697,0.68765,1.82175,0.02155,0.67006,0.30654,0.0,0.11504,0.66924,0.0,0.0,0.0,0.55694,0.9559,0.0,0.0
0.37682,0.00734,0.00821,0.89556,0.00064,2.7064,0.79749,5.88462,0.66546,1.67628,0.01997,0.67,0.32732,0.0,0.11528,0.60134,0.0,0.0,0.0,0.57667,1.0,0.0,0.0
0.38259,0.00736,0.00796,0.87886,0.00054,2.57972,0.93372,4.83336,0.63153,1.75424,0.02598,0.77445,0.35364,0.0,0.09943,0.66341,0.0,0.0,0.0,0.63461,1.0,0.0,0.0
0.38325,0.00763,0.00794,0.89556,0.0006,2.64644,0.80199,5.92204,0.66837,1.75781,0.02238,0.68511,0.32672,0.0,0.12129,0.63388,0.0,0.0,0.0,0.55141,1.0,0.0,0.0
0.38775,0.00742,0.00583,0.84655,0.00066,3.02326,0.77189,5.88462,0.63905,1.8004,0.02155,0.69473,0.29105,0.0,0.10707,0.6844,0.0,0.0,0.0,0.6063,1.0,0.0,0.0
0.38156,0.01184,0.01046,0.96348,0.00058,2.82637,0.82833,6.12017,0.5,1.6799,0.01575,0.61716,0.32968,0.0,0.09495,0.55509,0.0,0.0,0.0,0.45702,1.0,0.0,0.0
0.3888,0.01221,0.00921,0.92483,0.00057,2.76653,0.72232,6.5309,0.5,1.57986,0.01662,0.64167,0.28172,0.0,0.09922,0.65678,0.0,0.0,0.0,0.53347,1.0,0.0,0.0
0.38216,0.01084,0.01244,0.98,0.00061,2.35393,0.83529,6.20796,0.70875,1.65853,0.01652,0.59189,0.38776,0.0,0.10001,0.57274,0.0,0.0,0.0,0.55426,1.0,0.0,0.0
0.38614,0.00745,0.0079,0.89738,0.00063,2.71574,0.8232,5.90131,0.6796,1.63529,0.02146,0.69493,0.32739,0.0,0.11394,0.63062,0.0,0.0,0.0,0.55988,1.0,0.0,0.0
0.36976,0.00612,0.00898,0.94855,0.00063,3.10515,0.5762,7.31555,0.76525,2.02812,0.02155,0.62341,0.37711,0.0,0.16161,0.71,0.0,0.0,0.0,0.72605,1.0,0.0,0.0
0.3788,0.00995,0.00731,0.90381,0.00059,3.07858,0.61678,5.88462,0.68377,1.65256,0.01925,0.69473,0.32659,0.0,0.12528,0.59936,0.0,0.0,0.0,0.60979,1.0,0.0,0.0
0.37577,0.00828,0.00794,0.83055,0.00048,2.7064,0.81278,6.72631,0.68497,1.57497,0.02425,0.61853,0.37418,0.0,0.12148,0.54413,0.0,0.0,0.0,0.47766,1.0,0.0,0.0
0.37651,0.00742,0.00723,0.87804,0.00051,2.7064,0.95,6.78338,0.68497,1.5208,0.02155,0.64797,0.26785,0.0,0.11528,0.52372,0.0,0.0,0.0,0.6085,0.73866,0.0,0.0
0.3763,0.01096,0.00769,0.98,0.00058,2.99437,0.95,9.07653,0.49578,1.30955,0.01691,0.45426,0.37523,0.0,0.09425,0.51868,0.0,0.0,0.0,0.52129,0.86801,0.0,0.0
0.38399,0.01274,0.01005,0.93779,0.00053,2.96727,0.76443,6.50844,0.5,1.6799,0.01523,0.59315,0.32976,0.0,0.08997,0.59533,0.0,0.0,0.0,0.54823,1.0,0.0,0.0
0.37314,0.00919,0.00638,0.9714,0.0006,3.00832,0.81438,6.486,0.7717,1.53102,0.02155,0.80192,0.42701,0.0,0.11069,0.63062,0.0,0.0,0.0,0.55927,0.88479,0.0,0.0
0.38007,0.01064,0.01035,0.90493,0.00061,2.60593,0.833,6.38672,0.5,1.74106,0.01613,0.61723,0.29732,0.0,0.0988,0.5634,0.0,0.0,0.0,0.46526,0.8217,0.0,0.0
0.38594,0.00622,0.00796,0.90554,0.0007,3.26887,0.95,5.87663,0.49779,1.81828,0.02008,0.77079,0.31733,0.0,0.10711,0.69471,0.0,0.0,0.0,0.5154,1.0,0.0,0.0
0.38679,0.00878,0.00806,0.89556,0.00071,2.83782,0.65687,5.70704,0.60725,1.8351,0.02084,0.71185,0.27315,0.0,0.11417,0.68128,0.0,0.0,0.0,0.71704,1.0,0.0,0.0
0.37969,0.00782,0.00736,0.9005,0.00053,2.7064,0.82034,5.88462,0.70874,1.82334,0.02155,0.72784,0.32659,0.0,0.11528,0.65007,0.0,0.0,0.0,0.66802,0.9682,0.0,0.0
0.3721,0.0069,0.00725,0.84453,0.00052,2.90645,0.59263,5.39751,0.63041,1.90036,0.02242,0.70155,0.38426,0.0,0.11232,0.58719,0.0,0.0,0.0,0.60638,0.89029,0.0,0.0
0.38632,0.00801,0.00707,0.89801,0.00057,2.8822,0.83723,5.05578,0.70369,1.72348,0.01913,0.68852,0.33297,0.0,0.11818,0.65782,0.0,0.0,0.0,0.50954,0.88494,0.0,0.0
0.37565,0.00742,0.00789,0.87358,0.0005,2.93671,0.68849,5.88462,0.68497,1.36514,0.02548,0.6957,0.37124,0.0,0.11528,0.65136,0.0,0.0,0.0,0.53088,1.0,0.0,0.0
0.38804,0.00745,0.0078,0.89295,0.00066,2.57029,0.81278,5.72962,0.69824,1.66275,0.02087,0.69473,0.32659,0.0,0.11859,0.62441,0.0,0.0,0.0,0.60071,0.99026,0.0,0.0
0.36971,0.00744,0.00794,0.89556,0.00063,2.7064,0.81278,5.92569,0.68497,1.65255,0.02183,0.69473,0.32659,0.0,0.11596,0.63408,0.0,0.0,0.0,0.57073,1.0,0.0,0.0
0.38102,0.0119,0.01063,0.96064,0.00058,3.12411,0.91558,6.41124,0.50904,1.75838,0.01549,0.54542,0.31163,0.0,0.08753,0.54135,0.0,0.0,0.0,0.49474,1.0,0.0,0.0
0.38035,0.00714,0.00815,0.88013,0.00065,2.56011,0.8163,5.79589,0.69062,1.65256,0.02186,0.65928,0.32659,0.0,0.10898,0.6205,0.0,0.0,0.0,0.57387,1.0,0.0,0.0
0.38115,0.00774,0.00794,0.9582,0.00065,3.18512,0.75722,5.67644,0.61878,1.65256,0.02072,0.69473,0.29833,0.0,0.11579,0.64532,0.0,0.0,0.0,0.6041,1.0,0.0,0.0
0.38229,0.00742,0.00805,0.90136,0.00053,2.88031,0.78783,3.58637,0.58375,1.65256,0.02155,0.69473,0.33196,0.0,0.13678,0.76172,0.0,0.0,0.0,0.75582,0.65479,0.0,0.0
0.38029,0.00917,0.0103,0.93018,0.00057,2.92052,0.7373,6.15934,0.50088,1.52053,0.01742,0.60039,0.32233,0.0,0.09272,0.57274,0.0,0.0,0.0,0.49538,1.0,0.0,0.0
